,prereq,topic,platform,head,url,image
0,AI and Machine Learning,Math fundamentals,youtube,Basic Math Winter Batch | Basic Maths In Hindi | Zero Level Maths | Learn Maths In Hindi | Basic Mathematics in Hind,https://www.youtube.com/watch?v=Fubh6iYyZ94&list=PLbpXrZGbB0i4AJh7O1g6qrmpO5PZsVrH7,https://i.ytimg.com/vi/Fubh6iYyZ94/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAq4E9GBOP5D7tYNR8NmOuTIJtMJg
1,AI and Machine Learning,Math fundamentals,youtube,Mathematics (All Of It),https://www.youtube.com/watch?v=JbhBdOfMEPs&list=PLybg94GvOJ9FoGQeUMFZ4SWZsr30jlUYK,https://i.ytimg.com/vi/JbhBdOfMEPs/hqdefault.jpg?sqp=-oaymwEXCOADEI4CSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCLWfBp0Zc4GSCefnscPR5-h0Jy1A
2,AI and Machine Learning,Math fundamentals,youtube,Mathematics Basics,https://www.youtube.com/watch?v=Y5bInzQiyuo&list=PLco74IzIY3JLJt_tm9F2epktWIq9u2ucu,https://i.ytimg.com/vi/Y5bInzQiyuo/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCgj4Rdsi2d0N93h2GQcS89pv6hMQ
3,AI and Machine Learning,Math fundamentals,youtube,Math hero foundation batch Aashish Arora 2025 - 26,https://www.youtube.com/watch?v=Y42mcCdHzlU&list=PL2U2Q1ygfVYsX6SebVbRL9z4O_dp8sH5a,https://i.ytimg.com/vi/Y42mcCdHzlU/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBlA8Sg3zavXE3k05ehNT6dXXvZ1A
4,AI and Machine Learning,Coding basics,youtube,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,https://www.youtube.com/watch?v=7wnove7K-ZQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg,https://i.ytimg.com/vi/7wnove7K-ZQ/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBUXoJQ_bg8VrqiU-vbL8a90-mmOQ
5,AI and Machine Learning,Coding basics,youtube,Python Language Full Course (2025-26),https://www.youtube.com/watch?v=t2_Q2BRzeEE&list=PLGjplNEQ1it8-0CmoljS5yeV-GlKSUEt0,https://i.ytimg.com/vi/t2_Q2BRzeEE/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBm5_nQyrAnm5zyJ2FBA9l3BKyzMA
6,AI and Machine Learning,Coding basics,youtube,Java Complete Basics to Advanced with 100+ Programming Challenges,https://www.youtube.com/watch?v=PymbRTMb4hY&list=PL78RhpUUKSweClRi_l05UgfE3053-zkRf,https://i.ytimg.com/vi/PymbRTMb4hY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB_-ddeMH5sydPMGts1pEM49Ooz3Q
7,AI and Machine Learning,Coding basics,youtube,C Programming Course,https://www.youtube.com/watch?v=rQoqCP7LX60&list=PLxgZQoSe9cg1drBnejUaDD9GEJBGQ5hMt,https://i.ytimg.com/vi/rQoqCP7LX60/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCk0zmUAEsS9kh1hAf9vUbnh2ZnPw
8,AI and Machine Learning,Data understanding,youtube,Data Analysis Projects,https://www.youtube.com/watch?v=4QkYy1wANXA&list=PLeo1K3hjS3utcb9nKtanhcn8jd2E0Hp9b,https://i.ytimg.com/vi/4QkYy1wANXA/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA0spMmeqXlaGxWD42x803T8KZVhw
9,AI and Machine Learning,Data understanding,youtube,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,https://www.youtube.com/watch?v=o7WkGYIPUM8&list=PLunlGNVWDAaY7AeDDzTeu4-DD3g7zmAXs,https://i.ytimg.com/vi/o7WkGYIPUM8/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLC6IsKz_XJ_s8uWv6m75miHxd_bVg
